run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
144,2269.250185,2269.250185,0,2269.250185,1,9.37,17.739,26.109,34.478,42.848,51.217,59.587,67.957,76.326,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
145,2366.808989,2366.808989,0,2366.808989,1,9.543,18.087,26.63,35.174,43.717,52.261,60.804,69.348,77.891,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
146,2466.557273,2466.557273,0,2466.557273,1,9.717,18.435,27.152,35.87,44.587,53.304,62.022,70.739,79.457,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
147,2568.364325,2568.364325,0,2568.364325,1,9.891,18.783,27.674,36.565,45.457,54.348,63.239,72.13,81.022,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
148,2672.141492,2672.141492,0,2672.141492,1,10.065,19.13,28.196,37.261,46.326,55.391,64.457,73.522,82.587,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
149,2778.010105,2778.010105,0,2778.010105,1,10.239,19.478,28.717,37.957,47.196,56.435,65.674,74.913,84.152,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
150,2885.898546,2885.898546,0,2885.898546,1,10.413,19.826,29.239,38.652,48.065,57.478,66.891,76.304,85.717,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
151,2995.936146,2995.936146,0,2995.936146,1,10.587,20.174,29.761,39.348,48.935,58.522,68.109,77.696,87.283,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
152,3107.936905,3107.936905,0,3107.936905,1,10.761,20.522,30.283,40.043,49.804,59.565,69.326,79.087,88.848,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
153,3222.031892,3222.031892,0,3222.031892,1,10.935,20.87,30.804,40.739,50.674,60.609,70.543,80.478,90.413,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
154,3338.143925,3338.143925,0,3338.143925,1,11.109,21.217,31.326,41.435,51.543,61.652,71.761,81.87,91.978,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
155,3456.412073,3456.412073,0,3456.412073,1,11.283,21.565,31.848,42.13,52.413,62.696,72.978,83.261,93.543,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
156,3576.738989,3576.738989,0,3576.738989,1,11.457,21.913,32.37,42.826,53.283,63.739,74.196,84.652,95.109,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
