site,datetime,value
trgw_003_008,2016-03-08,37.296242892163136
trgw_003_008,2016-03-09,36.94888328736982
trgw_003_008,2016-03-10,37.43362286132092
trgw_003_008,2016-03-11,37.02250643675819
trgw_003_008,2016-03-12,37.319943910876674
trgw_003_008,2016-03-13,37.20555382466191
trgw_003_008,2016-03-14,37.0315043629632
trgw_003_008,2016-03-15,36.94020000342049
trgw_003_008,2016-03-16,37.15971690728398
trgw_003_008,2016-03-17,37.61206888917906
trgw_003_008,2016-03-18,37.21479798902213
trgw_003_008,2016-03-19,37.46880630842317
trgw_003_008,2016-03-20,37.280625426467566
trgw_003_008,2016-03-21,37.46774935473809
trgw_003_008,2016-03-22,36.92877772433909
trgw_003_008,2016-03-23,37.212882338630095
trgw_003_008,2016-03-24,37.490551104758644
trgw_003_008,2016-03-25,37.274405010233366
trgw_003_008,2016-03-26,37.28901394345779
trgw_003_008,2016-03-27,37.22633761762284
trgw_003_008,2016-03-28,37.545732876673426
trgw_003_008,2016-03-29,37.37285687079098
trgw_003_008,2016-03-30,37.33141445523507
trgw_003_008,2016-03-31,37.45802490906786
trgw_003_008,2016-04-01,37.45086498582359
trgw_003_008,2016-04-02,37.37467040928751
trgw_003_008,2016-04-03,37.64882329939817
trgw_003_008,2016-04-04,37.33057849327218
trgw_003_008,2016-04-05,37.401903209593584
trgw_003_008,2016-04-06,37.21693348932942
trgw_003_008,2016-04-07,37.374323045401226
trgw_003_008,2016-04-08,37.661439304749074
trgw_003_008,2016-04-09,37.220858479642246
trgw_003_008,2016-04-10,37.12998643487231
trgw_003_008,2016-04-11,37.55592192856396
trgw_003_008,2016-04-12,37.32555876955326
trgw_003_008,2016-04-13,37.37308084099395
trgw_003_008,2016-04-14,37.35475033926133
trgw_003_008,2016-04-15,37.378678344785904
trgw_003_008,2016-04-16,37.54032613670469
trgw_003_008,2016-04-17,37.20415016188014
trgw_003_008,2016-04-18,37.1763801831789
trgw_003_008,2016-04-19,37.39482362740754
trgw_003_008,2016-04-20,37.061422062110026
trgw_003_008,2016-04-21,37.13151929279161
