  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    762.2465          4       0.9229722E-03       -118.2719           0.1568033E-01
    762.2465          5       0.1138199E-02       -116.8312           0.1568051E-01
    762.2465          6       0.1345004E-02       -114.8723           0.1568073E-01
    762.2465          7       0.1542621E-02       -112.4420           0.1568136E-01
    762.2465          8       0.1730623E-02       -109.6604           0.1568121E-01
    762.2465          9       0.1908985E-02       -106.6422           0.1568183E-01
    762.2465         10       0.2078144E-02       -103.6098           0.1568205E-01
    762.2465         11       0.2239083E-02       -100.8240           0.1568228E-01
    762.2465         12       0.2392851E-02       -98.36002           0.1568246E-01
    762.2465         13       0.2540682E-02       -96.34942           0.1568254E-01
    762.2465         14       0.2683568E-02       -94.72261           0.1568265E-01
    762.2465         15       0.2822430E-02       -93.48280           0.1568279E-01
    762.2465         16       0.2958141E-02       -92.63317           0.1568287E-01
    762.2465         17       0.3091468E-02       -92.14964           0.1568211E-01
    762.2465         18       0.3223065E-02       -91.99449           0.1568250E-01
    762.2465         19       0.3353471E-02       -92.12421           0.1568278E-01
    762.2465         20       0.3483144E-02       -92.49990           0.1568300E-01
    762.2465         21       0.3612460E-02       -93.08915           0.1568320E-01
    762.2465         22       0.3741787E-02       -93.89489           0.1568337E-01
    762.2465         23       0.3871085E-02       -94.69073           0.1568288E-01
    762.2465         24       0.3999997E-02       -95.29325           0.1568272E-01
    762.2465         25       0.4128046E-02       -95.61926           0.1568251E-01
    762.2465         26       0.4254594E-02       -95.55796           0.1568267E-01
    762.2465         27       0.4378915E-02       -95.04072           0.1568289E-01
    762.2465         28       0.4500289E-02       -94.04626           0.1568313E-01
    762.2465         29       0.4617961E-02       -92.52023           0.1568346E-01
    762.2465         30       0.4731201E-02       -90.43997           0.1568405E-01
    762.2465         31       0.4839235E-02       -87.72271           0.1568470E-01
    762.2465         32       0.4941257E-02       -84.29388           0.1568560E-01
    762.2465         33       0.5036445E-02       -80.06320           0.1568651E-01
    762.2465         34       0.5123924E-02       -74.87081           0.1568799E-01
    762.2465         35       0.5202770E-02       -68.53194           0.1568955E-01
    762.2465         36       0.5272045E-02       -60.80329           0.1569176E-01
    762.2465         37       0.5330852E-02       -51.34241           0.1569583E-01
    762.2465         38       0.5378404E-02       -39.67520           0.1570090E-01
    762.2465         39       0.5415683E-02       -27.08470           0.1571438E-01
    762.2465         40       0.6123654E-02        0.000000           0.1000000E+31
    846.9405          1       0.3554741E-03       -119.3370           0.1576907E-01
    846.9405          2       0.7020219E-03       -119.5864           0.1576885E-01
    846.9405          3       0.1037311E-02       -119.1550           0.1576887E-01
    846.9405          4       0.1360072E-02       -118.2719           0.1576881E-01
    846.9405          5       0.1668797E-02       -116.8312           0.1576889E-01
    846.9405          6       0.1962278E-02       -114.8723           0.1576898E-01
    846.9405          7       0.2239635E-02       -112.4420           0.1576946E-01
    846.9405          8       0.2500525E-02       -109.6604           0.1576913E-01
